verse_part_type,verse_part,hebrew_id,bible_chapter,bible_verse,lit_type,testament_type,bible_book,version
WORD,,G2532,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1096,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1722,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2919,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2923,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1096,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3042,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1722,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1093,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G4198,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G435,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G575,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2448,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3939,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1722,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G68,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G846,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1135,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G846,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G5207,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G846,1,Ruth1:1,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3686,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G435,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3686,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1135,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G846,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3686,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1417,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G5207,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G846,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1537,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2448,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2064,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1519,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G68,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1510,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G1563,1,Ruth1:2,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G599,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G435,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G3588,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2641,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G846,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
WORD,,G2532,1,Ruth1:3,Historical Books (Former Prophets),Old Testament,Ruth,LXX
